Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 22 Jan 2024, at 06:36 AM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,High
"On 01 Jan 2024, at 06:23 PM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 08 Jan 2024, at 03:02 AM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,Moderate
"On 25 Feb 2024, at 12:10 AM, a car collided with a bus at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 23 Jan 2024, at 08:58 AM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Jumping red lights or ignoring stop signs",Seatbelt Violation,Signal Violation,High
"On 21 Feb 2024, at 09:12 AM, a truck collided with a bus at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Heavy rain, fog, or slippery roads",Weather Issues,Weather Issues,High
"On 17 Jan 2024, at 05:29 PM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 26 Feb 2024, at 01:35 AM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 24 Feb 2024, at 03:59 AM, a two-wheeler collided with a truck at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 27 Feb 2024, at 11:23 AM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 18 Feb 2024, at 10:44 AM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 17 Jan 2024, at 10:01 PM, a car collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. Car passengers not wearing seatbelts",Drunk Driving,Seatbelt Violation,High
"On 02 Feb 2024, at 12:16 AM, a truck collided with a two-wheeler at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 09 Jan 2024, at 07:21 AM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,Moderate
"On 25 Jan 2024, at 10:35 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Two-wheeler rider not wearing a helmet",Pedestrian Negligence,Helmet Violation,Moderate
"On 08 Jan 2024, at 03:47 AM, a auto-rickshaw collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 31 Jan 2024, at 10:20 AM, a bus collided with a bus at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 09 Jan 2024, at 06:22 PM, a car collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 06 Jan 2024, at 04:14 PM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,Moderate
"On 28 Feb 2024, at 01:24 PM, a auto-rickshaw collided with a truck at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 30 Jan 2024, at 08:50 AM, a car collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. DUI-related accident",Seatbelt Violation,Drunk Driving,Moderate
"On 19 Jan 2024, at 06:33 AM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Two-wheeler rider not wearing a helmet",Helmet Violation,Helmet Violation,Moderate
"On 01 Feb 2024, at 02:22 PM, a bus collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Two-wheeler rider not wearing a helmet",Helmet Violation,Helmet Violation,Moderate
"On 16 Jan 2024, at 05:37 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 13 Feb 2024, at 02:48 AM, a bus collided with a car at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 20 Jan 2024, at 12:34 PM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Jumping red lights or ignoring stop signs",Weather Issues,Signal Violation,Moderate
"On 19 Feb 2024, at 08:23 PM, a truck collided with a bus at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,Moderate
"On 18 Jan 2024, at 02:45 AM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Potholes, construction work, or lack of signs",Helmet Violation,Road Conditions,Moderate
"On 14 Jan 2024, at 02:31 AM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,Moderate
"On 26 Jan 2024, at 09:16 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 27 Jan 2024, at 10:50 PM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 12 Feb 2024, at 10:20 AM, a auto-rickshaw collided with a truck at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,High
"On 14 Feb 2024, at 04:52 AM, a bus collided with a truck at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 12 Feb 2024, at 11:36 PM, a bus collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 06 Jan 2024, at 08:00 PM, a bus collided with a two-wheeler at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 18 Feb 2024, at 01:14 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,Moderate
"On 30 Jan 2024, at 04:19 PM, a bus collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
